,data,time
0,473.8125,5695.0
1,471.0,11358.0
2,471.375,16995.0
3,472.3125,23059.0
4,474.1875,30565.0
5,474.375,38282.0
6,475.6875,45058.0
7,475.5,51085.0
8,477.375,58262.0
9,480.1875,64498.0
10,478.5,70397.0
11,478.5,76800.0
12,478.125,83591.0
13,475.5,90070.0
14,475.875,96526.0
15,476.625,102910.0
16,476.4375,108979.0
17,477.1875,114847.0
18,476.8125,120981.0
19,476.0625,127504.0
20,476.4375,134162.0
21,477.9375,140714.0
22,478.3125,146613.0
23,477.0,152611.0
24,477.5625,158534.0
25,478.125,164359.0
26,478.3125,171087.0
27,477.0,177666.0
28,476.25,184190.0
29,476.0625,190637.0
30,474.75,196627.0
31,476.625,202772.0
32,476.625,209224.0
33,474.9375,216140.0
34,478.875,222719.0
35,480.375,228996.0
36,480.375,235183.0
37,482.8125,240987.0
38,483.9375,247808.0
39,482.25,254406.0
40,482.8125,260577.0
41,483.1875,266997.0
42,483.75,273048.0
43,484.5,278906.0
44,483.1875,284782.0
45,481.875,290793.0
46,479.8125,297200.0
47,480.75,303540.0
48,480.0,310134.0
49,479.0625,316063.0
50,479.0625,322312.0
51,478.125,328224.0
52,479.8125,334160.0
53,481.3125,340540.0
54,480.75,346816.0
55,479.8125,352962.0
56,478.875,359086.0
57,479.25,364829.0
58,480.375,370638.0
59,478.125,376872.0
60,479.625,383233.0
61,482.25,389347.0
62,481.125,395237.0
63,481.3125,401107.0
64,481.3125,407189.0
65,482.25,413052.0
66,480.1875,418886.0
67,480.5625,424795.0
68,482.8125,431668.0
69,476.4375,438186.0
70,470.4375,444323.0
71,463.875,450754.0
72,456.75,456726.0
73,451.875,462549.0
74,448.6875,469105.0
75,442.3125,475477.0
76,437.8125,481851.0
77,434.0625,488154.0
78,429.375,494029.0
79,429.0,499797.0
80,431.4375,505684.0
81,431.8125,512146.0
82,430.3125,518534.0
83,432.5625,524761.0
84,432.5625,531122.0
85,433.5,536913.0
86,435.375,542694.0
87,435.1875,549183.0
88,437.0625,555752.0
89,437.25,561825.0
90,436.125,568315.0
91,435.0,574114.0
92,434.8125,579897.0
93,436.125,586343.0
94,434.8125,592945.0
95,435.1875,599286.0
96,436.6875,605601.0
97,436.125,611483.0
98,435.5625,617349.0
99,436.5,623251.0
100,437.0625,629070.0
101,437.8125,634978.0
102,432.9375,640906.0
103,430.6875,646685.0
104,426.375,652527.0
105,425.4375,659468.0
106,424.875,665941.0
107,423.75,672029.0
108,423.9375,678104.0
109,427.125,684066.0
110,426.375,690851.0
111,424.875,697409.0
112,425.4375,703735.0
113,426.5625,710153.0
114,426.9375,716047.0
115,427.3125,721892.0
116,428.0625,727973.0
117,424.6875,735018.0
118,424.125,741252.0
119,424.875,747923.0
120,423.9375,754066.0
121,423.5625,759952.0
122,425.625,765991.0
123,425.25,772140.0
124,425.625,778646.0
125,426.5625,785173.0
126,426.75,791129.0
127,428.625,797008.0
128,429.1875,803909.0
129,429.75,810478.0
130,428.8125,816939.0
131,429.9375,823379.0
132,429.9375,829404.0
133,429.0,835221.0
134,428.4375,841934.0
135,428.625,848547.0
136,427.3125,855069.0
137,426.75,861418.0
138,430.875,867369.0
139,434.625,873244.0
140,435.0,879271.0
141,436.125,885758.0
142,436.3125,892400.0
143,436.125,898776.0
144,436.125,905186.0
145,436.125,911259.0
146,435.9375,917062.0
147,437.625,922984.0
148,436.875,929446.0
149,436.875,936198.0
150,436.875,942515.0
151,437.4375,948498.0
152,437.25,954380.0
153,438.0,960354.0
154,439.5,966451.0
155,437.625,972987.0
156,438.0,979295.0
157,439.5,985705.0
158,437.625,991841.0
159,438.0,997989.0
160,438.375,1003881.0
161,437.625,1009760.0
162,437.625,1016088.0
163,436.125,1022399.0
164,436.875,1028643.0
165,434.625,1034672.0
166,433.5,1040437.0
167,438.0,1046229.0
168,441.0,1052453.0
169,442.875,1058746.0
170,447.1875,1064954.0
171,449.0625,1070847.0
172,449.8125,1076775.0
173,450.375,1082602.0
174,449.8125,1088706.0
175,449.8125,1095221.0
176,450.0,1101515.0
177,451.125,1107746.0
178,449.0625,1113742.0
179,449.8125,1119525.0
180,450.1875,1125406.0
181,449.625,1131744.0
182,450.5625,1138036.0
183,450.1875,1144199.0
184,449.8125,1150090.0
185,449.4375,1155893.0
186,449.25,1161705.0
187,450.9375,1167614.0
188,451.5,1173992.0
189,452.25,1180187.0
190,450.5625,1186532.0
191,450.5625,1192716.0
192,450.9375,1198532.0
