,data,time
0,444.75,5698.0
1,445.125,11334.0
2,444.9375,17123.0
3,446.4375,23053.0
4,447.75,29019.0
5,446.4375,35038.0
6,445.3125,41367.0
7,443.25,48502.0
8,442.875,54202.0
9,443.8125,60024.0
10,443.625,65862.0
11,442.125,72504.0
12,442.3125,79286.0
13,442.6875,86207.0
14,441.0,93117.0
15,441.9375,99490.0
16,441.375,105651.0
17,441.5625,111928.0
18,441.75,117777.0
19,443.625,123635.0
20,443.4375,129625.0
21,442.3125,135969.0
22,445.6875,142615.0
23,445.5,149165.0
24,445.3125,155483.0
25,444.9375,161872.0
26,446.0625,167841.0
27,444.9375,173750.0
28,446.4375,179835.0
29,445.5,187069.0
30,444.1875,193816.0
31,447.5625,200537.0
32,449.0625,207272.0
33,447.5625,213173.0
34,447.375,219142.0
35,447.9375,225645.0
36,446.8125,231973.0
37,449.25,238658.0
38,448.5,245343.0
39,446.0625,253192.0
40,445.875,260659.0
41,449.25,267617.0
42,448.5,274492.0
43,450.9375,280244.0
44,450.0,287119.0
45,448.125,295332.0
46,449.8125,302885.0
47,447.5625,310022.0
48,444.9375,316015.0
49,447.1875,321828.0
50,448.6875,328289.0
51,448.875,334650.0
52,447.0,341507.0
53,449.4375,348652.0
54,448.6875,355272.0
55,449.0625,361972.0
56,450.1875,368169.0
57,449.4375,374622.0
58,448.875,380448.0
59,450.375,386625.0
60,449.0625,392467.0
61,448.6875,398404.0
62,448.875,405379.0
63,447.9375,412284.0
64,447.9375,418757.0
65,449.8125,425267.0
66,449.25,431875.0
67,449.625,438017.0
68,451.875,443789.0
69,451.125,450454.0
70,450.375,456871.0
71,451.875,463138.0
72,450.5625,469764.0
73,449.625,475622.0
74,448.875,481343.0
75,448.5,487240.0
76,448.5,493083.0
77,448.125,498956.0
78,449.4375,505745.0
79,449.25,512733.0
80,450.0,519436.0
81,450.5625,525722.0
82,448.125,532362.0
83,449.4375,538618.0
84,456.5625,544441.0
85,453.9375,550445.0
86,453.1875,556268.0
87,452.8125,562196.0
88,453.75,568368.0
89,451.6875,574819.0
90,451.875,581320.0
91,452.25,587877.0
92,451.6875,593927.0
93,450.9375,599644.0
94,452.25,605653.0
95,450.5625,611977.0
96,451.875,618704.0
97,454.125,625323.0
98,454.3125,631559.0
99,454.6875,637432.0
100,453.9375,643201.0
101,453.9375,649102.0
102,452.4375,655347.0
103,453.0,661498.0
104,451.6875,668345.0
105,452.8125,676404.0
106,453.75,683689.0
107,452.25,689808.0
108,452.625,695652.0
109,450.9375,702953.0
110,453.1875,710091.0
111,451.3125,717290.0
112,452.8125,725075.0
113,451.3125,731266.0
114,452.0625,737052.0
115,452.25,743381.0
116,452.4375,751118.0
117,452.8125,758925.0
118,453.5625,766586.0
119,452.25,774295.0
120,452.625,780893.0
121,453.0,787300.0
122,453.5625,795325.0
123,451.6875,802153.0
124,453.375,808360.0
125,453.1875,814472.0
126,452.4375,820322.0
127,452.625,826054.0
128,453.375,832156.0
129,450.9375,837957.0
130,450.9375,844806.0
131,451.6875,852669.0
132,453.9375,860462.0
133,454.125,867760.0
134,451.3125,874377.0
135,450.1875,881704.0
136,452.0625,888614.0
137,450.9375,894676.0
138,453.0,901059.0
139,452.625,907623.0
140,452.0625,914201.0
141,451.3125,920701.0
142,451.875,926628.0
143,451.5,932514.0
144,450.9375,938644.0
145,453.9375,945682.0
146,454.3125,952487.0
147,455.0625,958802.0
148,456.375,965209.0
149,456.0,971181.0
150,454.5,976973.0
151,453.375,983610.0
152,453.0,990475.0
153,452.25,996763.0
154,450.0,1003265.0
155,450.0,1009174.0
156,456.375,1015326.0
157,460.125,1021242.0
158,464.0625,1027191.0
159,469.125,1033499.0
160,472.3125,1039990.0
161,475.5,1046392.0
162,474.75,1052628.0
163,474.9375,1058814.0
164,476.625,1064810.0
165,475.875,1070842.0
166,474.1875,1077239.0
167,473.4375,1083644.0
