,data,time
0,419.0625,5680.0
1,419.0625,11509.0
2,419.625,17389.0
3,418.3125,23254.0
4,420.0,29265.0
5,420.1875,35288.0
6,419.25,41216.0
7,420.375,47287.0
8,420.5625,53414.0
9,420.1875,59446.0
10,419.625,65990.0
11,418.875,72340.0
12,416.25,86057.0
13,419.8125,93506.0
14,418.6875,100933.0
15,419.625,107607.0
16,419.8125,113500.0
17,417.9375,120553.0
18,419.4375,127016.0
19,420.375,133506.0
20,420.1875,140606.0
21,419.25,147017.0
22,418.5,153577.0
23,418.125,159520.0
24,416.25,165375.0
25,417.0,171197.0
26,416.8125,177259.0
27,415.125,184589.0
28,416.25,192845.0
29,416.4375,200066.0
30,417.75,207389.0
31,417.9375,214415.0
32,417.5625,220283.0
33,418.125,226666.0
34,417.9375,233986.0
35,417.75,241614.0
36,417.5625,248080.0
37,417.9375,254612.0
38,416.8125,261057.0
39,416.25,267287.0
40,415.875,273040.0
41,415.5,278954.0
42,415.125,285251.0
43,417.9375,291774.0
44,417.75,298068.0
45,418.3125,304634.0
46,419.25,310649.0
47,420.0,316435.0
48,420.5625,322277.0
49,420.9375,328910.0
50,422.0625,335900.0
51,420.75,342438.0
52,418.6875,348947.0
53,418.3125,355573.0
54,417.75,361552.0
55,417.5625,367409.0
56,418.3125,373927.0
57,418.125,380823.0
58,419.4375,387648.0
59,421.125,394140.0
60,420.9375,400575.0
61,421.125,406440.0
62,422.4375,412245.0
63,423.5625,419166.0
64,423.1875,425871.0
65,424.875,432191.0
66,425.25,438508.0
67,425.0625,444791.0
68,424.875,450807.0
69,421.5,456656.0
70,420.0,463254.0
71,418.5,470201.0
72,417.1875,476850.0
73,417.9375,483348.0
74,418.875,489597.0
75,421.125,495296.0
76,421.3125,501091.0
77,422.4375,506901.0
78,423.75,512802.0
79,424.5,519804.0
80,423.5625,526365.0
81,425.25,532997.0
82,426.5625,539491.0
83,426.375,545526.0
84,426.9375,551317.0
85,426.75,557919.0
86,426.1875,564794.0
87,428.25,571468.0
88,429.5625,577281.0
89,429.9375,583500.0
90,430.6875,590242.0
91,433.875,596155.0
92,434.625,601892.0
93,438.0,607860.0
94,438.9375,613736.0
95,439.125,620049.0
96,438.75,626071.0
97,441.375,633068.0
98,443.25,640241.0
99,444.75,647049.0
100,446.625,653758.0
101,447.75,660414.0
102,450.375,666395.0
103,451.3125,672251.0
104,453.5625,678590.0
