,data,time
0,-94.125,5684.0
1,-93.375,11464.0
2,-94.125,17387.0
3,-93.375,23428.0
4,-93.375,29707.0
5,-93.5625,36420.0
6,-92.4375,43054.0
7,-93.375,49527.0
8,-93.75,55883.0
9,-93.1875,62751.0
10,-95.25,69295.0
11,-95.25,75971.0
12,-92.25,83164.0
13,-93.0,89661.0
14,-94.3125,96647.0
15,-93.75,103041.0
16,-93.9375,109498.0
17,-93.375,115495.0
18,-93.5625,121400.0
19,-93.0,127645.0
20,-94.125,134770.0
21,-92.0625,141351.0
22,-92.0625,147749.0
23,-92.25,154008.0
24,-92.0625,160045.0
25,-92.8125,165832.0
26,-93.375,171714.0
27,-93.375,178104.0
28,-92.8125,185545.0
29,-93.1875,192392.0
30,-92.8125,198727.0
31,-93.1875,205495.0
32,-93.0,211485.0
33,-92.4375,217760.0
34,-91.875,223781.0
35,-92.4375,229605.0
36,-91.6875,236145.0
37,-91.3125,243192.0
38,-90.5625,249662.0
39,-90.5625,256020.0
40,-91.125,262855.0
41,-93.1875,268818.0
42,-94.3125,274625.0
43,-91.6875,280833.0
44,-92.0625,287751.0
45,-94.125,294380.0
46,-94.3125,300719.0
47,-94.5,306932.0
48,-95.8125,313106.0
49,-94.125,319095.0
50,-92.0625,325407.0
51,-93.9375,333543.0
52,-90.75,340432.0
53,-92.25,347203.0
54,-91.5,353632.0
55,-93.1875,359549.0
56,-92.625,365601.0
57,-95.0625,372084.0
58,-95.0625,379262.0
59,-94.5,386449.0
60,-95.25,392952.0
61,-94.125,398957.0
62,-92.625,405524.0
63,-92.4375,411709.0
64,-92.4375,417631.0
65,-93.1875,424184.0
66,-92.625,431013.0
67,-94.6875,437865.0
68,-94.5,444945.0
69,-97.5,451076.0
70,-96.1875,456941.0
71,-96.375,462854.0
72,-99.9375,468715.0
73,-98.8125,475483.0
74,-97.5,482607.0
75,-96.5625,489795.0
76,-95.8125,496802.0
77,-93.0,502664.0
78,-93.1875,508650.0
79,-93.5625,514632.0
80,-93.1875,520535.0
81,-93.5625,527093.0
82,-94.875,534000.0
83,-93.9375,540948.0
84,-95.0625,547878.0
85,-96.375,554295.0
86,-96.0,560142.0
87,-94.6875,566267.0
88,-94.875,572766.0
89,-93.9375,579796.0
90,-92.8125,586815.0
91,-94.3125,593409.0
92,-93.5625,599967.0
93,-93.9375,605643.0
94,-93.1875,611439.0
95,-93.0,617333.0
96,-92.8125,624092.0
97,-92.0625,630589.0
98,-91.875,637212.0
99,-91.3125,643671.0
100,-92.0625,650347.0
101,-93.0,656107.0
102,-92.25,661872.0
103,-91.875,667685.0
104,-92.0625,674422.0
105,-92.625,681419.0
106,-93.1875,688001.0
107,-94.6875,694514.0
108,-92.625,701013.0
109,-95.625,706997.0
110,-95.4375,712785.0
111,-93.9375,719047.0
112,-93.1875,725875.0
113,-94.5,732768.0
114,-93.9375,739316.0
115,-92.25,745515.0
116,-92.4375,751472.0
117,-92.8125,757311.0
118,-91.6875,763259.0
119,-92.25,770349.0
120,-93.75,776901.0
121,-92.25,783362.0
122,-93.75,789820.0
123,-93.75,796220.0
124,-93.1875,802137.0
125,-92.625,808586.0
126,-91.3125,815801.0
127,-89.4375,822494.0
128,-90.9375,829124.0
129,-89.8125,835765.0
130,-87.5625,841670.0
131,-87.75,847458.0
132,-89.4375,853304.0
133,-89.625,859987.0
134,-90.0,867420.0
135,-90.1875,874133.0
136,-89.8125,880785.0
137,-90.5625,887304.0
138,-91.5,893305.0
139,-90.375,899299.0
140,-87.9375,905470.0
141,-87.9375,911994.0
142,-88.875,919195.0
143,-88.5,925593.0
144,-87.375,931798.0
145,-87.5625,937594.0
146,-87.0,943420.0
147,-87.5625,949317.0
148,-87.9375,955661.0
149,-84.1875,963052.0
150,-85.125,969358.0
151,-83.8125,976044.0
152,-82.6875,982160.0
153,-83.625,988120.0
154,-82.5,994806.0
155,-81.5625,1001864.0
156,-81.375,1009051.0
157,-84.0,1015524.0
158,-83.25,1021853.0
159,-84.0,1027795.0
160,-84.75,1033663.0
161,-81.5625,1039696.0
