,data,time
0,-44.625,5726.0
1,-43.3125,11446.0
2,-43.3125,17072.0
3,-46.3125,22885.0
4,-45.75,28698.0
5,-46.3125,34890.0
6,-44.625,40967.0
7,-43.6875,46934.0
8,-42.5625,53263.0
9,-40.875,59284.0
10,-42.5625,65929.0
11,-42.5625,72199.0
12,-41.625,78381.0
13,-44.25,84318.0
14,-43.6875,90777.0
15,-44.4375,97412.0
16,-43.6875,103801.0
17,-42.1875,110053.0
18,-41.8125,116113.0
19,-44.0625,122185.0
20,-43.5,128616.0
21,-41.4375,135221.0
22,-43.125,141587.0
23,-43.5,147988.0
24,-42.375,154298.0
25,-44.25,160033.0
26,-43.125,165843.0
27,-42.5625,171715.0
28,-41.8125,178122.0
29,-43.5,184539.0
30,-42.375,191460.0
31,-44.25,197644.0
32,-42.0,203736.0
33,-43.5,209909.0
34,-42.5625,216121.0
35,-41.625,222005.0
36,-40.3125,227855.0
37,-43.6875,234309.0
38,-40.875,241805.0
39,-45.75,248363.0
40,-43.3125,254956.0
41,-44.25,261422.0
42,-43.5,267663.0
43,-41.4375,273461.0
44,-43.5,280226.0
45,-43.875,287551.0
46,-44.4375,294131.0
47,-44.8125,300517.0
48,-47.625,306811.0
49,-44.625,312984.0
50,-42.1875,318885.0
51,-43.125,324789.0
52,-41.0625,331003.0
53,-42.75,337948.0
54,-42.1875,344540.0
55,-40.6875,350984.0
56,-43.5,357816.0
57,-44.0625,363707.0
58,-41.625,369449.0
59,-40.6875,375627.0
60,-43.5,382023.0
61,-45.0,388327.0
62,-45.5625,394744.0
63,-47.8125,400860.0
64,-47.25,407099.0
65,-46.6875,413751.0
66,-47.4375,420503.0
67,-48.9375,427134.0
68,-48.5625,433666.0
69,-47.0625,439960.0
70,-49.6875,445792.0
71,-47.4375,451595.0
72,-51.5625,457416.0
73,-50.8125,463974.0
74,-50.0625,470695.0
75,-48.75,477465.0
76,-49.5,483804.0
77,-48.75,490442.0
78,-47.0625,496731.0
79,-48.0,502566.0
80,-48.1875,508502.0
81,-47.25,514522.0
82,-44.8125,520500.0
83,-44.625,526887.0
84,-45.9375,533551.0
85,-45.0,540469.0
86,-44.8125,547525.0
87,-43.125,554120.0
88,-47.0625,560837.0
89,-48.0,566994.0
90,-46.875,572784.0
91,-45.1875,578765.0
92,-44.25,584724.0
93,-45.0,590705.0
94,-44.25,596703.0
95,-45.75,602598.0
96,-45.0,608607.0
97,-43.875,614918.0
98,-42.5625,621225.0
99,-43.3125,627822.0
100,-42.5625,634469.0
101,-42.375,640906.0
102,-41.25,647264.0
103,-37.6875,653118.0
104,-39.1875,659047.0
105,-39.0,664933.0
106,-40.125,670743.0
107,-40.3125,677318.0
108,-41.0625,683792.0
109,-39.5625,690074.0
110,-36.9375,696600.0
111,-36.5625,702873.0
112,-37.875,708714.0
113,-35.4375,714613.0
114,-37.3125,721753.0
115,-36.75,728256.0
116,-34.875,735129.0
117,-33.5625,741722.0
118,-34.5,748066.0
119,-31.5,754056.0
120,-32.8125,759811.0
121,-34.6875,766380.0
122,-30.9375,772974.0
123,-30.75,779797.0
124,-29.8125,786474.0
125,-28.5,792467.0
126,-26.4375,798313.0
127,-27.75,804241.0
128,-25.125,811011.0
129,-26.8125,818462.0
130,-24.5625,825274.0
131,-21.75,832301.0
132,-22.125,839159.0
133,-20.4375,845183.0
134,-21.0,851331.0
135,-19.125,857824.0
136,-13.6875,864513.0
137,-7.125,870982.0
138,-3.9375,877854.0
139,6.9375,884026.0
140,10.6875,890075.0
141,16.5,896133.0
142,20.625,901958.0
143,22.6875,908600.0
144,25.5,915622.0
145,26.25,922214.0
146,28.6875,928458.0
147,30.0,934893.0
148,31.875,940894.0
149,32.8125,946995.0
150,33.75,953374.0
151,36.9375,960199.0
152,39.9375,966735.0
153,42.9375,972916.0
154,44.4375,979172.0
155,46.3125,985003.0
156,46.3125,990810.0
157,48.1875,997279.0
158,52.125,1004003.0
159,52.5,1010394.0
160,54.9375,1017048.0
161,54.75,1023442.0
162,55.875,1029413.0
163,57.375,1035192.0
164,58.875,1041767.0
165,59.25,1048416.0
166,62.625,1055032.0
167,64.3125,1061786.0
168,68.625,1067903.0
169,73.875,1074102.0
170,81.375,1079964.0
171,84.375,1085903.0
172,92.4375,1092375.0
173,98.0625,1098909.0
174,103.5,1105802.0
175,107.4375,1112319.0
176,112.5,1118479.0
177,112.5,1124623.0
178,116.25,1131686.0
179,117.75,1138630.0
180,117.75,1145101.0
181,120.1875,1151788.0
182,119.4375,1158202.0
183,119.625,1164382.0
184,121.3125,1170152.0
185,122.0625,1176002.0
186,121.5,1181899.0
187,123.9375,1188166.0
188,122.4375,1194610.0
189,124.5,1201065.0
190,126.5625,1207263.0
191,127.125,1213645.0
192,124.5,1219445.0
193,126.5625,1225228.0
194,128.625,1231046.0
195,128.25,1236929.0
196,124.875,1242797.0
197,129.375,1252431.0
198,128.4375,1259028.0
199,127.875,1265166.0
200,129.1875,1271365.0
201,130.125,1277577.0
202,130.875,1283470.0
203,129.75,1289314.0
204,133.3125,1296030.0
205,133.3125,1302532.0
206,133.125,1308609.0
207,136.125,1314651.0
208,133.6875,1320672.0
209,132.1875,1326628.0
210,134.8125,1332494.0
211,135.75,1338610.0
212,134.0625,1345272.0
213,137.0625,1351803.0
214,135.75,1358065.0
215,133.875,1364299.0
216,134.0625,1370535.0
217,138.1875,1376424.0
218,136.6875,1382258.0
219,140.8125,1388745.0
220,140.25,1395425.0
221,143.0625,1401603.0
222,141.1875,1407742.0
223,145.125,1413823.0
224,142.5,1419638.0
225,142.3125,1425465.0
226,141.1875,1431970.0
227,142.875,1438646.0
228,139.3125,1444743.0
229,139.5,1450771.0
230,138.1875,1456840.0
231,135.75,1462648.0
232,134.4375,1468470.0
233,133.3125,1474339.0
234,134.8125,1480743.0
235,132.1875,1487745.0
236,132.5625,1494159.0
237,132.375,1500261.0
238,129.5625,1506349.0
239,131.625,1512439.0
240,128.25,1518303.0
241,128.25,1524090.0
242,126.9375,1530696.0
243,125.625,1537167.0
244,123.9375,1543160.0
245,122.25,1549297.0
246,122.625,1555356.0
247,120.375,1561159.0
248,119.625,1566995.0
249,119.625,1573026.0
250,117.9375,1579078.0
251,115.5,1585687.0
252,109.6875,1592259.0
253,99.9375,1598902.0
254,92.4375,1605181.0
255,87.1875,1611444.0
256,81.0,1617525.0
257,77.25,1623635.0
258,72.1875,1629677.0
259,70.5,1635983.0
260,68.625,1642370.0
261,66.0,1648583.0
262,63.375,1654505.0
263,64.125,1660394.0
264,60.1875,1666431.0
265,63.75,1672608.0
266,58.875,1678535.0
267,58.125,1684467.0
268,58.5,1691183.0
269,54.75,1698454.0
270,51.1875,1704896.0
271,50.0625,1711039.0
272,48.5625,1717797.0
273,49.875,1724046.0
274,44.4375,1729906.0
275,45.1875,1735745.0
276,42.9375,1742551.0
277,42.9375,1748664.0
278,39.0,1754792.0
279,39.75,1760851.0
280,37.125,1766913.0
281,36.75,1772816.0
282,34.125,1778624.0
283,30.0,1784448.0
284,30.9375,1790759.0
285,27.0,1797003.0
286,27.5625,1803070.0
287,22.5,1809260.0
288,24.0,1815402.0
289,21.75,1821409.0
290,18.1875,1827558.0
291,10.5,1834090.0
292,3.9375,1840508.0
293,-6.5625,1846574.0
294,-7.5,1852664.0
295,-15.1875,1858640.0
296,-18.0,1864642.0
297,-21.5625,1870642.0
298,-21.75,1876600.0
299,-26.4375,1882474.0
300,-24.375,1888330.0
301,-26.0625,1894428.0
302,-28.3125,1901018.0
303,-33.75,1907478.0
304,-33.375,1913524.0
305,-32.0625,1919713.0
306,-32.0625,1925896.0
307,-30.75,1931909.0
308,-34.125,1937876.0
309,-33.5625,1944154.0
310,-32.25,1950497.0
311,-34.3125,1956671.0
312,-34.5,1962765.0
313,-36.375,1968808.0
314,-34.5,1974632.0
315,-35.25,1980423.0
316,-36.0,1986270.0
317,-32.25,1992262.0
318,-35.4375,1998676.0
319,-38.8125,2005155.0
320,-36.375,2011284.0
321,-35.8125,2017630.0
322,-35.8125,2024150.0
323,-36.5625,2030088.0
324,-36.75,2036018.0
325,-37.875,2041978.0
326,-39.375,2048695.0
327,-37.875,2055578.0
328,-36.75,2062671.0
329,-39.9375,2068933.0
330,-38.8125,2075104.0
331,-38.0625,2081048.0
332,-38.4375,2086967.0
333,-38.4375,2092947.0
334,-37.3125,2098948.0
335,-36.1875,2105510.0
336,-37.6875,2111914.0
337,-39.375,2118122.0
338,-36.75,2124229.0
339,-37.5,2130302.0
340,-38.4375,2136172.0
341,-38.625,2141954.0
342,-40.3125,2148506.0
343,-41.25,2154660.0
344,-38.8125,2160698.0
345,-41.25,2166801.0
346,-39.375,2172775.0
347,-40.875,2178717.0
348,-40.3125,2184517.0
349,-39.75,2190949.0
350,-37.5,2197546.0
351,-37.6875,2203871.0
352,-35.4375,2210097.0
353,-35.625,2216318.0
354,-36.0,2222404.0
355,-37.875,2228240.0
356,-37.3125,2234016.0
357,-36.9375,2240383.0
358,-36.75,2246462.0
359,-37.6875,2252589.0
360,-35.25,2258669.0
361,-38.25,2264782.0
362,-36.375,2270677.0
363,-34.5,2276586.0
364,-35.25,2282416.0
365,-35.0625,2288332.0
366,-33.5625,2294673.0
